complaint_id,product,sub_product,issue,sub_issue,state,company,date_received,complaint_what_happened,escalated,labeler_notes
18406113,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,IL,"Kriya Capital, LLC",2026-01-01T18:54:06.000Z,CREDENCE RESOURCE MANA is falsely reporting on my credit. I have never had any accounts with them. Per my research CREDENCE RESOURCE MANA is a debt collector. They are falsely reporting on my credit!! Account number is XXXXXXXX XXXX XXXX XXXX XXXX  is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.,,
20830759,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,FL,Klarna AB,2026-04-01T01:07:06.000Z,,,
14362784,Debt collection,I do not know,Electronic communications,Frequent or repeated messages,LA,"Portfolio Recovery Associates, LLC",2025-07-01T04:53:14.000Z,,,
8094806,Debt collection,Payday loan debt,Attempts to collect debt not owed,Debt was result of identity theft,FL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-01-02T20:30:11.000Z,,,
12765343,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,FL,"Bounce AI, Inc.",2025-04-01T13:16:01.000Z,,,
6388608,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,AR,SLM CORPORATION,2023-01-02T18:40:00.000Z,,,
11342342,Debt collection,Credit card debt,Written notification about debt,Didn't receive notice of right to dispute,IL,CL Holdings LLC,2025-01-01T22:59:23.000Z,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XX/XX/year> XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, MN XXXX Dear Sir/Madam : I am writing in regard to the above-referenced debt to inform you that I am disputing this debt. Please verify the debt as required by the Fair Debt Collection Practices Act. 
I am disputing this debt that you claim I owe it. 
Because I am disputing this debt, you should not report it to the credit reporting agencies. If you have already reported it, please contact the credit reporting agencies, inform them that the debt is disputed, and ask them to delete it from my credit report. Reporting information that you know to be inaccurate, or failing to report information correctly, violates the Fair Credit Reporting Act. 
Finally, please note that I do not wish to receive further telephone calls or letters concerning this debt that I do not owe to your client. The Fair Debt Collection Practices Act requires you to respect this request. See 15 U.S.C. 1692 ( c ). 
Thank you for your attention to this matter. 
Sincerely, XXXX XXXX XXXX, XXXX XXXX",,
18399916,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,GA,"CCS Financial Services, Inc.",2026-01-01T05:32:16.000Z,"To Whom It May Concern, I am writing to formally dispute the above-referenced account pursuant to the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g, and the Fair Credit Reporting Act ( FCRA ). 

I did not enter into any agreement with Credit Control Service, and you are not the original creditor. This account has not been properly validated, and I dispute the accuracy, ownership, balance, and any credit reporting associated with this account. 

You are required to provide full and complete validation, including : Documentation showing my agreement to this alleged debt Proof that you are legally authorized to collect or report this debt A complete itemized payment history and balance calculation Evidence of assignment or transfer from the original creditor to your company Until proper validation is provided, you must cease all collection activity and cease any reporting to credit bureaus. 

Additionally, pursuant to 15 U.S.C. 1692c ( c ), I hereby demand that you cease and desist all communication with me, except as allowed by law to provide validation or notify me of specific legal action.

Any continued collection, inaccurate reporting, or failure to validate this account will be documented as violations of federal law and may be reported to : Consumer Financial Protection Bureau ( CFPB ) Federal Trade Commission ( FTC ) Georgia Attorney Generals Office This letter is not an acknowledgment of any debt, nor is it a promise or agreement to pay. 

XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",,
18404626,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,TX,"Portfolio Recovery Associates, LLC",2026-01-01T17:06:52.000Z,"Help my rights are being violated, 15 U.S.C. 1692g ( b ) of the FDCPA requires debt collectors to cease collection activities and provide proper validation of the debt when requested in writing within XXXX  days of initial contact. The accounts Ive referenced are not 100 % accurate. Until you provide competent evidence that validates the debt including a signed agreement, full account history, and verification of your authority to collect you must cease all collection efforts and remove the information from my credit report.",,
8090939,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,CA,Collection Consultants of California,2024-01-02T14:32:14.000Z,"XXXX and XXXX has removed medical debt from my credit reports and I am formally requesting deletion from the third credit bureau as well. 

I am also requesting that a deletion letter be sent to the credit bureau from the furnisher for deletion from my credit report immediately. 

Please see supporting documentation with this complaint to help me expedite the deletion process.",,
12764960,Debt collection,I do not know,Threatened to contact someone or share information improperly,Talked to a third-party about your debt,TX,BTH Management,2025-04-01T06:51:44.000Z,,,
20832584,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,MA,"United Collection Bureau, Inc.",2026-04-01T02:27:12.000Z,,,
14399112,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,TX,Experian Information Solutions Inc.,2025-07-01T12:38:19.000Z,,,
